Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Mean Earnings,Median Earnings
Alabama A & M University,3,4,Public,Southeast,Mid-size City,0.8989,17,823,18888,7459,7079,19500,20.62999916,40211.22,29039,30300,27000
University of Alabama at Birmingham,3,4,Public,Southeast,Mid-size City,0.8673,25,1146,19990,17208,10170,16250,22.67000008,49894.65,34909,42100,37200
University of Alabama in Huntsville,3,4,Public,Southeast,Mid-size City,0.8062,26,1180,20306,9352,9341,16500,23.19000053,54155.4,39766,45800,41500
Alabama State University,3,4,Public,Southeast,Mid-size City,0.5125,17,830,17400,7393,6557,15854.5,20.88999939,31846.99,24029.5,26400,22400
The University of Alabama,3,4,Public,Southeast,Small City,0.5655,26,1171,26717,9817,9605,17750,20.77000046,74131.14,58976,44700,39200
Auburn University at Montgomery,3,4,Public,Southeast,Mid-size City,0.8371,21,970,16556,6817,7173,10750,23.43000031,40107.7,27378,35300,32400
Auburn University,3,4,Public,Southeast,Small City,0.8274,27,1215,23788,11324,9429,18250,20.32999992,88745.91,71775.5,47100,41800
Birmingham Southern College,3,3,Private,Southeast,Mid-size City,0.6422,26,1177,44512,9990,7513,21500,19.62000084,106237.94,89942.5,41500,38200
Huntingdon College,3,3,Private,Southeast,Mid-size City,0.6279,22,999,31433,6571,6027,16850,22.90999985,63952.76,54275.5,36100,33000
Jacksonville State University,3,4,Public,Southeast,Small City,0.8326,23,1036,19202,6949,6857,16500,22.81999969,47062.65,35158,33400,31300
Judson College,3,3,Private,Southeast,Remote Rural,0.7388,22,1023,27815,9293,5638,14250,22.61000061,49479.42,43020,28400,25300
University of West Alabama,3,4,Public,Southeast,Remote Rural,0.9957,20,950,17959,8898,6408,13500,22.55999947,37752.64,23735,34400,32200
Marion Military Institute,2,2,Public,Southeast,Remote Rural,0.6034,22,1040,16520,6128,5909,5500,19.87000084,59734.02,48241,39300,37900
University of Mobile,3,4,Private,Southeast,Fringe Rural,0.7125,23,1058,30108,6715,5024,22500,25.12999916,51471.07,37643,36800,32900
University of Montevallo,3,4,Public,Southeast,Large Suburb,0.8729,23,1070,20209,7719,7035,15872,21.55999947,58419.08,48019,31700,30400
University of North Alabama,3,4,Public,Southeast,Small City,0.8092,22,1028,15058,6814,7152,12542,22.20000076,52611.8,40030,35600,33000
Oakwood University,3,4,Private,Southeast,Mid-size City,0.3435,20,924,34705,7656,5307,22000,21.22999954,54196.14,42094.5,32300,27300
Samford University,3,4,Private,Southeast,Large Suburb,0.7697,26,1153,38835,14054,8261,20000,21.02000046,92968.08,77481,48900,41400
University of South Alabama,3,4,Public,Southeast,Mid-size City,0.8604,23,1064,17125,10325,7212,15000,23.69000053,45401.94,30958,39900,34400
Spring Hill College,3,4,Private,Southeast,Mid-size City,0.4627,24,1100,43325,6999,6057,20500,21.48999977,78659.44,58994,40000,37500
Southeastern Bible College,3,3,Private,Southeast,Large Suburb,0.9615,21,970,19127,4314,4577,19414.5,26.78000069,50567.09,44006,30800,27200
Stillman College,3,3,Private,Southeast,Small City,0.43,19,882,24744,4330,4743,19000,20.54000092,35064.97,25809,26300,23200
Troy University,3,4,Public,Southeast,Fringe Rural,0.6821,21,990,16877,5260,5996,17750,27.53000069,38308.15,27401,36900,33800
Tuskegee University,3,4,Private,Southeast,Distant Town,0.3511,20,937,32853,13235,6679,23687.5,19.59000015,51894.99,39069,37100,30800
Alaska Pacific University,3,4,Private,Far West,Large City,0.3745,22,1008,42925,10753,5137,19250,26.52000046,65433.53,48081.5,41100,38000
