City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Athens,2004,Aquatics,Diving,"TIAN, Liang",CHN,Men,10m platform,M,Bronze
Athens,2004,Aquatics,Diving,"HU, Jia",CHN,Men,10m platform,M,Gold
Athens,2004,Aquatics,Diving,"HELM, Mathew",AUS,Men,10m platform,M,Silver
Athens,2004,Aquatics,Diving,"TOURKY, Loudy",AUS,Women,10m platform,W,Bronze
Athens,2004,Aquatics,Diving,"NEWBERY, Chantelle",AUS,Women,10m platform,W,Gold
Athens,2004,Aquatics,Diving,"LAO, Lishi",CHN,Women,10m platform,W,Silver
Athens,2004,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,3m springboard,M,Bronze
Athens,2004,Aquatics,Diving,"PENG, Bo",CHN,Men,3m springboard,M,Gold
Athens,2004,Aquatics,Diving,"DESPATIE, Alexandre",CAN,Men,3m springboard,M,Silver
Athens,2004,Aquatics,Diving,"PAKHALINA, Ioulia",RUS,Women,3m springboard,W,Bronze
Athens,2004,Aquatics,Diving,"GUO, Jingjing",CHN,Women,3m springboard,W,Gold
Athens,2004,Aquatics,Diving,"WU, Minxia",CHN,Women,3m springboard,W,Silver
Athens,2004,Aquatics,Diving,"HELM, Mathew",AUS,Men,synchronized diving 10m platform,M,Bronze
Athens,2004,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,synchronized diving 10m platform,M,Bronze
Athens,2004,Aquatics,Diving,"TIAN, Liang",CHN,Men,synchronized diving 10m platform,M,Gold
Athens,2004,Aquatics,Diving,"YANG, Jinghui",CHN,Men,synchronized diving 10m platform,M,Gold
Athens,2004,Aquatics,Diving,"TAYLOR, Leon",GBR,Men,synchronized diving 10m platform,M,Silver
Athens,2004,Aquatics,Diving,"WATERFIELD, Peter",GBR,Men,synchronized diving 10m platform,M,Silver
Athens,2004,Aquatics,Diving,"HARTLEY, Blythe",CAN,Women,synchronized diving 10m platform,W,Bronze
Athens,2004,Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,synchronized diving 10m platform,W,Bronze
Athens,2004,Aquatics,Diving,"LAO, Lishi",CHN,Women,synchronized diving 10m platform,W,Gold
Athens,2004,Aquatics,Diving,"LI, Ting",CHN,Women,synchronized diving 10m platform,W,Gold
Athens,2004,Aquatics,Diving,"GONCHAROVA, Natalia",RUS,Women,synchronized diving 10m platform,W,Silver
Athens,2004,Aquatics,Diving,"KOLTUNOVA, Yulia",RUS,Women,synchronized diving 10m platform,W,Silver
Athens,2004,Aquatics,Diving,"BARNETT, Steven",AUS,Men,synchronized diving 3m springboard,M,Bronze
Athens,2004,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,synchronized diving 3m springboard,M,Bronze
Athens,2004,Aquatics,Diving,"BIMIS, Thomas",GRE,Men,synchronized diving 3m springboard,M,Gold
Athens,2004,Aquatics,Diving,"SIRANIDIS, Nikolaos",GRE,Men,synchronized diving 3m springboard,M,Gold
