Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total,Speed_IAS_in_knots
BARKSDALE AIR FORCE BASE ARPT,T-38A,None,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130
NEW ORLEANS INTL,B-737-300,Substantial,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140
WASHINGTON DULLES INTL ARPT,B-727,None,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130
WASHINGTON DULLES INTL ARPT,BA-146,Medium,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
RONALD REAGAN WASHINGTON NATL,C-141B,None,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150
LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,160
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135
LAGUARDIA NY,B-737-400,Substantial,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140
NEW ORLEANS INTL,B-727,None,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235
CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-141B,None,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,B-52,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180
LOS ANGELES INTL,B-737-300,None,US AIRWAYS*,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,230
CHICAGO O'HARE INTL ARPT,B-727,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
PORTLAND INTL (OR),B-727,None,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,127
WASHINGTON DULLES INTL ARPT,B-727,Medium,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,Substantial,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140
CHICAGO O'HARE INTL ARPT,B-727,None,UNITED AIRLINES,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,120
HOUSTON-HOBBY,B-737-500,None,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,124
CHICAGO O'HARE INTL ARPT,B-767-200,None,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
SAN ANTONIO INTL,B-737-200,None,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320
SACRAMENTO INTL,MD-80,None,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260
WILL ROGERS WORLD ARPT,B-727-200,None,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,150
ATLANTA INTL,B-767,None,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180
INDIANAPOLIS INTL,BE-90  KING,Minor,BUSINESS,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,240
KANSAS CITY INTL,E-4B,None,MILITARY,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,180
MINETA SAN JOSE INTL,MD-80,None,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135
METRO OAKLAND INTL,MD-82,None,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,220
CHICAGO O'HARE INTL ARPT,MD-82,None,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
NASHVILLE INTL,B-727,None,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160
NASHVILLE INTL,MD-80,None,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,160
MINNEAPOLIS-ST PAUL INTL,DC-9,None,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100
PORTLAND INTL (OR),MD-80,None,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200
LAMBERT-ST LOUIS INTL,MD-80,None,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140
CHICAGO O'HARE INTL ARPT,KC-135E,None,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150
CHICAGO O'HARE INTL ARPT,C-130,None,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135
SALT LAKE CITY INTL,KC-135E,None,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150
