Name,Revenue,Profits,Assets,MarketValue,Employees,Industry,City,State,Country,Region,EconomicPole,Ticker,CeoTitle
Pemex,73514,-44903.7,102830,0,130447,"Mining, Crude-Oil Production",Mexico City,0,Mexico,Latin America  ,Growth,  ,Chief Executive Officer
Vale,25609,-12129,88492,0,74098,"Mining, Crude-Oil Production",Rio de Janeiro,0,Brazil,Latin America  ,Growth,VALE  ,"President, Chief Executive Officer"
ENI,92985,-9742.8,146411,0,81954,Petroleum Refining,Rome,0,Italy,Europe,Developed ,E     ,Chief Executive Officer
Petrobras,97314,-8450,230521,0,78470,Petroleum Refining,Rio de Janeiro,0,Brazil,Latin America  ,Growth,PBR   ,President
ArcelorMittal,63578,-7946,76846,0,209404,Metals,Luxembourg,0,Luxembourg,Europe,Developed ,MT    ,"Chairman, Chief Executive Officer, General Manager"
E.ON,129277,-7763.8,123493,0,56490,Energy,Essen,0,Germany,Europe,Developed ,EONGY ,"Chairman, Chief Executive Officer, Director"
Deutsche Bank,52422,-7536.4,1769561,0,101104,Banks: Commercial and Savings,Frankfurt,0,Germany,Europe,Developed ,DB    ,Chief Executive Officer
BP,225982,-6482,261832,0,79800,Petroleum Refining,London,0,Britain,Europe,Developed ,BP    ,"Group Chief Executive Officer, Director"
General Electric,140389,-6126,492692,295174,333000,Industrial Machinery,Fairfield,Connecticut,U.S.,N. America,Developed ,GE    ,"Chairman, Chief Executive Officer"
Vodafone,61690,-6058.7,192159,0,111684,Telecommunications,Newbury,0,Britain,Europe,Developed ,VOD   ,"Chief Executive, Director"
Engie,77520,-5121.5,174507,0,154935,Energy,Courbevoie,0,France,Europe,Developed ,ENGIY ,"Chief Executive Officer, Director"
U.S. Postal Service,68928,-5060,24014,0,556850,"Mail, Package, and Freight Delivery",Washington,District Of Columbia,U.S.,N. America,Developed ,  ,0
Glencore,170497,-4964,128485,0,102388,"Mining, Crude-Oil Production",Baar,0,Switzerland,Europe,Developed ,GLNCY ,Chief Executive Officer
Statoil,59895,-4652.1,109282,0,21581,Petroleum Refining,Stavanger,0,Norway,Europe,Developed ,STO   ,"President, Chief Executive Officer"
ConocoPhillips,30935,-4428,97484,49869,15900,"Mining, Crude-Oil Production",Houston,Texas,U.S.,N. America,Developed ,COP   ,"Chairman, Chief Executive Officer"
Toshiba,52032,-3831.8,48348,0,188000,"Electronics, Electrical Equip.",Tokyo,0,Japan,Asia,Developed ,TOSYY ,"Executive Officer, Representative, President, Chief Executive Officer"
Credit Suisse Group,35173,-3060.1,820231,0,48200,Banks: Commercial and Savings,Zurich,0,Switzerland,Europe,Developed ,CS    ,Chief Executive Officer
Royal Bank of Scotland,28984,-2435.3,1201666,0,93659,Banks: Commercial and Savings,Edinburgh,0,Britain,Europe,Developed ,RBS   ,Chief Executive Officer
SNCF Mobilités,32497,-2416,40861,0,196152,Railroads,St. Denis,0,France,Europe,Developed ,  ,"Chairman, Chief Executive Officer"
JX Holdings,62511,-2319.9,59838,0,26339,Petroleum Refining,Tokyo,0,Japan,Asia,Developed ,JXHLY ,Chairman of the Board
Standard Chartered,20976,-2194,640483,0,84076,Banks: Commercial and Savings,London,0,Britain,Europe,Developed ,SCBFF ,"Group Chief Executive Officer, Director"
China Minmetals,31883,-1679.8,54493,0,90653,Metals,Beijing,0,China,Asia,Growth,  ,Chairman
Noble Group,66712,-1672,17074,0,1500,Trading,Hong Kong,0,China,Asia,Growth,NOBGY ,"Chief Executive Officer, Executive Director"
Suncor Energy,23217,-1560.6,55819,0,13190,Petroleum Refining,"Calgary, Alberta",0,Canada,N. America,Developed ,SU    ,"President, Chief Executive Officer"
LafargeHolcim,24514,-1526.9,73247,0,100956,"Building Materials, Glass",Jona,0,Switzerland,Europe,Developed ,HCMLY ,Chief Executive Officer
Volkswagen,236600,-1519.7,414858,0,610076,Motor Vehicles and Parts,Wolfsburg,0,Germany,Europe,Developed ,VLKAY ,"Chairman of the Board, Sales & Marketing, Research & Development"
JD.com,28847,-1492.3,13115,0,105963,Internet Services and Retailing,Beijing,0,China,Asia,Growth,JD    ,"Chairman of the Board, Chief Executive Officer"
Deutsche Bahn,44818,-1469.8,60891,0,297202,Railroads,Berlin,0,Germany,Europe,Developed ,  ,"Chairman, Management Board, Chief Executive Officer, Secretary"
Repsol,39419,-1361.1,68514,0,25917,Petroleum Refining,Madrid,0,Spain,Europe,Developed ,REPYY ,"Chief Executive Officer, Director"
Mitsubishi,57689,-1244.4,132731,0,68247,Trading,Tokyo,0,Japan,Asia,Developed ,MSBHY ,"President, Chief Executive Officer, Director"
Hyundai Heavy Industries,40883,-1193.7,42423,0,35195,Industrial Machinery,Ulsan,0,South Korea,Asia,Growth,0,"Vice Chairman, Chief Executive Officer, Chief Technology Officer"
OMV Group,24989,-1173.6,35480,0,24124,Petroleum Refining,Vienna,0,Austria,Europe,Developed ,OMVKY ,"Chairman, Chief Executive Officer"
Centrica,42734,-1141.3,27794,0,38848,Utilities,Windsor,0,Britain,Europe,Developed ,CPYYY ,"Chief Executive, Director"
Sears Holdings,25146,-1129,11337,1635,178000,General Merchandisers,Hoffman Estates,Illinois,U.S.,N. America,Developed ,SHLD  ,"Chairman of the Board, Chief Executive Officer"
Rio Tinto Group,34829,-866,91564,0,54938,"Mining, Crude-Oil Production",London,0,Britain,Europe,Developed ,RIO   ,Chief Executive Officer
Aluminum Corp. of China,37996,-850.7,74973,0,133799,Metals,Beijing,0,China,Asia,Growth,  ,"Chairman of the Board, Chief Executive Officer"
Mitsui,39647,-694.8,97086,0,43611,Trading,Tokyo,0,Japan,Asia,Developed ,MITSY ,"Representative Director, President, Chief Executive Officer"
Halliburton,23633,-671,36942,30660,65000,"Oil and Gas Equipment, Services",Houston,Texas,U.S.,N. America,Developed ,HAL   ,"Chairman of the Board, President, Chief Executive Officer"
Onex,22104,-573,35810,0,144000,Semiconductors and Other Electronic Components,"Toronto, Ontario",0,Canada,N. America,Developed ,ONEXF ,"Chief Executive Officer, Chairman of the Board"
China Nonferrous Metal Mining (Group),27189,-462.9,19332,0,51263,"Mining, Crude-Oil Production",Beijing,0,China,Asia,Growth,  ,President
Shaanxi Yanchang Petroleum,31755,-367.3,45024,0,135225,"Mining, Crude-Oil Production",Xi'an,0,China,Asia,Growth,  ,"General Manager, Director"
Lotte Shopping,25758,-338.8,34712,0,26030,General Merchandisers,Seoul,0,South Korea,Asia,Growth,0,Chief Executive Officer
Alcoa,22534,-322,36528,12596,60000,Metals,New York,New York,U.S.,N. America,Developed ,AA    ,"Chairman, Chief Executive Officer"
Shougang Group,21514,-320.4,67291,0,114807,Metals,Beijing,0,China,Asia,Growth,  ,"Chairman, Chief Executive Officer"
Idemitsu Kosan,26147,-299.8,21375,0,9203,Petroleum Refining,Tokyo,0,Japan,Asia,Developed ,IDKOY ,Chief Executive Officer
Shanxi LuAn Mining Group,28642,-277.2,29742,0,99739,"Mining, Crude-Oil Production",Changzhi,0,China,Asia,Growth,  ,"Chairman, General Manager"
Hanwha,36590,-252,124219,0,46000,"Insurance: Life, Health (stock)",Seoul,0,South Korea,Asia,Growth,0,"Chairman, Chief Executive Officer, Secretary"
Shaanxi Coal & Chemical Industry,30331,-247,67314,0,132007,"Mining, Crude-Oil Production",Xi'an,0,China,Asia,Growth,  ,"General Manager, Top Executive"
Jizhong Energy Group,37817,-228,31673,0,128372,"Mining, Crude-Oil Production",Xingtai,0,China,Asia,Growth,  ,"Chairman, President"
HeSteel Group,45266,-203.6,53712,0,128798,Metals,Shijiazhuang,0,China,Asia,Growth,  ,"Chairman, President"
Datong Coal Mine Group,31958,-165.6,39738,0,164365,"Mining, Crude-Oil Production",Datong,0,China,Asia,Growth,  ,Chairman of the Board
Shanxi Jincheng Anthracite Coal Mining Group,27572,-153.9,32624,0,145890,"Mining, Crude-Oil Production",Jincheng,0,China,Asia,Growth,  ,Chairman
China National Building Materials Group,31706,-142.1,66627,0,171690,"Building Materials, Glass",Beijing,0,China,Asia,Growth,0,President
AmerisourceBergen,135962,-134.9,27736,19511,17000,Wholesalers: Health Care,Chesterbrook,Pennsylvania,U.S.,N. America,Developed ,ABC   ,"President, Chief Executive Officer, Director"
ChemChina,41412,-131.8,57366,0,129836,Chemicals,Beijing,0,China,Asia,Growth,  ,"President, Chief Executive Officer"
Lenovo Group,44912,-128.1,24933,0,60000,"Computers, Office Equipment",Hong Kong,0,China,Asia,Growth,LNVGY ,"Chairman, Chief Executive Officer, Senior Director"
Finatis,51960,-79.9,45340,0,330433,Food and Drug Stores,Paris,0,France,Europe,Developed ,0,"Chairman, Chief Executive Officer, Secretary"
RWE,51617,-79.9,86173,0,59762,Utilities,Essen,0,Germany,Europe,Developed ,RWEOY ,Chief Executive Officer
Telecom Italia,26569,-79.9,77372,0,82094,Telecommunications,Milan,0,Italy,Europe,Developed ,TI    ,Chief Executive Officer
Barclays,49490,-74.9,1650561,0,129400,Banks: Commercial and Savings,London,0,Britain,Europe,Developed ,BCS   ,Group Chief Executive Officer
Jiangxi Copper,31555,-57.1,17195,0,26258,"Mining, Crude-Oil Production",Guixi,0,China,Asia,Growth,  ,"Chairman, Party Secretary, Senior Economist"
Sinochem,60656,-55.1,54614,0,53432,Trading,Beijing,0,China,Asia,Growth,  ,Chairman
CPC,24362,-44.6,22593,0,14685,Petroleum Refining,Taipei,0,Taiwan,Asia,Growth,  ,President
Yangquan Coal Industry Group,28310,-29.5,31669,0,155306,"Mining, Crude-Oil Production",Yangquan,0,China,Asia,Growth,  ,Chief Executive Officer
Shandong Energy Group,25136,-27.7,41122,0,196435,"Mining, Crude-Oil Production",Jinan ,0,China,Asia,Growth,  ,"Chairman, Chief Executive Officer"
Greenergy Fuels Holdings,22479,3.9,2604,0,594,Energy,London,0,Britain,Europe,Developed ,  ,Chief Executive Officer
Adecco Group,24415,8.9,10564,0,32000,Temporary Help,Glattbrugg,0,Switzerland,Europe,Developed ,AHEXY ,Chief Executive Officer
AEON,67758,49.8,72886,0,265736,General Merchandisers,Chiba,0,Japan,Asia,Developed ,AONNY ,"President, Chief Executive Officer"
INTL FCStone,34693,55.7,5070,503,1231,Diversified Financials,New York,New York,U.S.,N. America,Developed ,INTL  ,"Chief Executive Officer, Director"
Shanxi Coking Coal Group,31039,76,40194,0,218602,"Mining, Crude-Oil Production",Taiyuan,0,China,Asia,Growth,  ,"Vice Chairman, President"
LG Electronics,49996,110,30977,0,77000,"Electronics, Electrical Equip.",Seoul,0,South Korea,Asia,Growth,????  ,"Vice Chairman, Chief Executive Officer, Director"
Plains GP Holdings,23152,118,24142,5423,5400,Pipelines,Houston,Texas,U.S.,N. America,Developed ,PAGP  ,"Chairman, Chief Executive Officer"
Rolls-Royce Holdings,20969,126.8,32899,0,50500,Aerospace and Defense,London,0,Britain,Europe,Developed ,RYCEY ,"Chief Executive Officer, Director"
Air France-KLM Group,28910,130.9,25347,0,93300,Airlines,Paris,0,France,Europe,Developed ,AFLYY ,"Chairman, Chief Executive Officer"
Energie Baden-Württemberg,23480,138.5,41447,0,18763,Utilities,Karlsruhe,0,Germany,Europe,Developed ,0,"Chairman, Chief Executive Officer, Secretary"
Jiangsu Shagang Group,32751,141.7,25068,0,36710,Metals,Zhangjiagang,0,China,Asia,Growth,  ,President
POSCO,51752,151.7,68880,0,34327,Metals,Seoul,0,South Korea,Asia,Growth,PKX   ,"Chief Executive Officer, Director"
Community Health Systems,22678,158,26861,2087,123000,Health Care: Medical Facilities,Franklin,Tennessee,U.S.,N. America,Developed ,CYH   ,"Chairman, Chief Executive Officer"
Tewoo Group,64232,160.2,35187,0,17860,Trading,Tianjin,0,China,Asia,Growth,  ,Chairman
Rajesh Exports,25237,162.9,3435,0,358,Trading,Bengaluru,0,India,South Asia,Growth,0,"Executive Chairman, Chief Executive Officer"
Rite Aid,30737,165.5,11277,0,70580,Food and Drug Stores,Camp Hill,Pennsylvania,U.S.,N. America,Developed ,RAD   ,0
US Foods Holding,23128,167.5,9239,0,25000,Wholesalers: Food and Grocery,Rosemont,Illinois,U.S.,N. America,Developed ,USFD  ,0
VTB Bank,22449,175.1,187170,0,92882,Banks: Commercial and Savings,Moscow,0,Russia,Russia / CIS ,Growth,0,"President, Chief Executive Officer, Human Resources"
China Electronics,31537,176.3,38158,0,127875,"Electronics, Electrical Equip.",Beijing,0,China,Asia,Growth,  ,"President, Director"
China Datang,26440,183.5,112349,0,96204,Energy,Beijing,0,China,Asia,Growth,  ,President
World Fuel Services,30380,186.9,4549,3440,4700,Wholesalers: Diversified,Miami,Florida,U.S.,N. America,Developed ,INT   ,"President, Chief Executive Officer"
Enbridge,26436,196.3,60958,0,8652,Pipelines,"Calgary, Alberta",0,Canada,N. America,Developed ,ENB   ,"President, Chief Executive Officer"
Tesco,87633,208.7,61176,0,357835,Food and Drug Stores,Welwyn Garden City,0,Britain,Europe,Developed ,TSCDY ,Group Chief Executive Officer
Louis Dreyfus,55733,211,18592,0,17555,Food Production,Rotterdam,0,Netherlands,Europe,Developed ,  ,Chief Executive Officer
Ingram Micro,43026,215.1,12307,5328,27700,Wholesalers: Electronics and Office Equipment,Irvine,California,U.S.,N. America,Developed ,IM    ,"President, Chief Executive Officer"
Wuchan Zhongda Group,29052,220.3,11237,0,18218,Trading,Hangzhou,0,China,Asia,Growth,  ,"Vice Chairman, President"
Phoenix Pharmahandel,25642,223.7,8409,0,24842,Wholesalers: Health Care,Mannheim,0,Germany,Europe,Developed ,  ,Chief Executive Officer
HNA Group,29562,234.9,95339,0,175600,Airlines,Haikou City,0,China,Asia,Growth,  ,Chief Executive Officer
Medipal Holdings,25224,256.3,13324,0,14697,Wholesalers: Health Care,Tokyo,0,Japan,Asia,Developed ,MAHLY ,"President, Chief Executive Officer"
